2026-07-10 07:52Z | k=8 mean +0.659 need +0.706 | ENS P(YES) 0.6% | dev3 +0.000 | mkt YES 24.0/25.0 | refresh OK
2026-07-10 07:52Z | k=8 mean +0.659 need +0.706 | ENS P(YES) 0.6% | dev3 +0.000 | mkt YES 24.0/25.0 | refresh OK
2026-07-10 14:46Z | k=8 mean +0.659 need +0.706 | ENS P(YES) 0.5% | dev3 +0.000 | mkt YES 24.0/25.0 | refresh OK
2026-07-11 09:35Z | k=9 mean +0.663 need +0.707 | ENS P(YES) 0.4% | dev3 +0.000 | mkt YES 23.0/24.0 | refresh OK
2026-07-11 12:32Z | k=9 mean +0.663 need +0.707 | ENS P(YES) 0.4% | dev3 +0.000 | mkt YES 21.0/22.0 | refresh OK
2026-07-12 13:01Z | k=9 mean +0.663 need +0.707 | ENS P(YES) n/a | dev3 +0.000 | mkt YES 22.0/23.0 | refresh OK
2026-07-13 12:46Z | k=9 mean +0.663 need +0.707 | ENS P(YES) n/a | dev3 +0.000 | mkt YES 24.0/25.0 | refresh OK
2026-07-13 13:07Z | k=11 mean +0.648 need +0.719 | ENS P(YES) 0.0% | dev3 +0.015 | mkt YES 24.0/25.0 | refresh OK
WARN dip-check: 2026-07-15 11:26Z | k=13 mean +0.629 need +0.741 | ENS P(YES) 2.9% | dev3 +0.064 | mkt YES 21.0/22.0 | refresh OK
WARN dip-check: 2026-07-15 20:38Z | k=13 mean +0.629 need +0.741 | ENS P(YES) 0.7% | dev3 +0.064 | mkt YES 22.0/23.0 | refresh OK
WARN dip-check: 2026-07-18 05:00Z | k=16 mean +0.617 need +0.776 | ENS P(YES) 6.4% | dev3 +0.134 | mkt YES 48.0/49.0 | refresh OK
WARN dip-check: 2026-07-18 17:36Z | k=16 mean +0.617 need +0.776 | ENS P(YES) 3.9% | dev3 +0.134 | mkt YES 27.0/28.999999999999996 | refresh OK
WARN dip-check: 2026-07-19 13:45Z | k=17 mean +0.614 need +0.791 | ENS P(YES) 24.7% | dev3 +0.145 | mkt YES 24.0/25.0 | refresh OK
WARN dip-check: 2026-07-21 08:37Z | k=19 mean +0.616 need +0.817 | ENS P(YES) 40.8% | dev3 +0.175 | mkt YES 20.0/21.0 | refresh OK
WARN dip-check: 2026-07-21 09:23Z | k=19 mean +0.616 need +0.817 | ENS P(YES) 31.3% | dev3 +0.175 | mkt YES 20.0/21.0 | refresh OK
WARN dip-check: 2026-07-21 13:06Z | k=19 mean +0.616 need +0.817 | ENS P(YES) 31.3% | dev3 +0.175 | mkt YES 20.0/21.0 | refresh OK
WARN dip-check: 2026-07-22 06:41Z | k=20 mean +0.624 need +0.822 | ENS P(YES) 24.6% | dev3 +0.160 | mkt YES 20.0/21.0 | refresh OK
WARN dip-check: 2026-07-22 12:42Z | k=20 mean +0.624 need +0.822 | ENS P(YES) 24.6% | dev3 +0.160 | mkt YES 21.0/24.0 | refresh OK
